Debug which ball? Mass 1 in kg:Mass 2 in kg:Angle of ball 2 relative to ball 1 in degrees:


Components of initial velocity of ball 1 in ms^-1:


Components of initial velocity of ball 2 in ms^-1:


bA	t	sx	sy	vx	vy	ax	ay	Fx	Fy
--------------------------------------------------------------------------------
0	0.000	0.000	0.000	4.500	0.000	0.000	0.000	0.000	0.000
100	0.000	0.000	-0.000	4.500	-0.000	0.002	-0.002	0.014	-0.018
200	0.000	0.000	-0.000	4.500	-0.000	0.004	-0.005	0.029	-0.037
300	0.000	0.000	-0.000	4.500	-0.000	0.005	-0.007	0.043	-0.055
400	0.000	0.000	-0.000	4.500	-0.000	0.007	-0.009	0.057	-0.074
500	0.000	0.000	-0.000	4.500	-0.000	0.009	-0.012	0.071	-0.092
600	0.000	0.000	-0.000	4.500	-0.000	0.011	-0.014	0.086	-0.111
700	0.000	0.000	-0.000	4.500	-0.000	0.013	-0.016	0.100	-0.129
800	0.000	0.000	-0.000	4.500	-0.000	0.014	-0.018	0.114	-0.148
900	0.000	0.000	-0.000	4.500	-0.000	0.016	-0.021	0.129	-0.166
1000	0.000	0.000	-0.000	4.500	-0.000	0.018	-0.023	0.143	-0.184
1100	0.000	0.000	-0.000	4.500	-0.000	0.020	-0.025	0.157	-0.203
1200	0.000	0.001	-0.000	4.500	-0.000	0.021	-0.028	0.171	-0.221
1300	0.000	0.001	-0.000	4.500	-0.000	0.023	-0.030	0.186	-0.239
1400	0.000	0.001	-0.000	4.500	-0.000	0.025	-0.032	0.200	-0.258
1500	0.000	0.001	-0.000	4.500	-0.000	0.027	-0.035	0.214	-0.276
1600	0.000	0.001	-0.000	4.500	-0.000	0.029	-0.037	0.228	-0.295
1700	0.000	0.001	-0.000	4.500	-0.000	0.030	-0.039	0.242	-0.313
1800	0.000	0.001	-0.000	4.500	-0.000	0.032	-0.041	0.257	-0.331
1900	0.000	0.001	-0.000	4.500	-0.000	0.034	-0.044	0.271	-0.349
2000	0.000	0.001	-0.000	4.500	-0.000	0.036	-0.046	0.285	-0.368
2100	0.000	0.001	-0.000	4.500	-0.000	0.037	-0.048	0.299	-0.386
2200	0.000	0.001	-0.000	4.500	-0.000	0.039	-0.051	0.313	-0.404
2300	0.000	0.001	-0.000	4.500	-0.000	0.041	-0.053	0.328	-0.423
2400	0.000	0.001	-0.000	4.500	-0.000	0.043	-0.055	0.342	-0.441
2500	0.000	0.001	-0.000	4.500	-0.000	0.044	-0.057	0.356	-0.459
2600	0.000	0.001	-0.000	4.500	-0.000	0.046	-0.060	0.370	-0.477
2700	0.000	0.001	-0.000	4.500	-0.000	0.048	-0.062	0.384	-0.495
2800	0.000	0.001	-0.000	4.500	-0.000	0.050	-0.064	0.398	-0.514
2900	0.000	0.001	-0.000	4.500	-0.000	0.052	-0.066	0.412	-0.532
3000	0.000	0.001	-0.000	4.500	-0.000	0.053	-0.069	0.427	-0.550
3100	0.000	0.001	-0.000	4.500	-0.000	0.055	-0.071	0.441	-0.568
3200	0.000	0.001	-0.000	4.500	-0.000	0.057	-0.073	0.455	-0.586
3300	0.000	0.001	-0.000	4.500	-0.000	0.059	-0.076	0.469	-0.604
3400	0.000	0.002	-0.000	4.500	-0.000	0.060	-0.078	0.483	-0.623
3500	0.000	0.002	-0.000	4.500	-0.000	0.062	-0.080	0.497	-0.641
3600	0.000	0.002	-0.000	4.500	-0.000	0.064	-0.082	0.511	-0.659
3700	0.000	0.002	-0.000	4.500	-0.000	0.066	-0.085	0.525	-0.677
3800	0.000	0.002	-0.000	4.500	-0.000	0.067	-0.087	0.539	-0.695
3900	0.000	0.002	-0.000	4.500	-0.000	0.069	-0.089	0.553	-0.713
4000	0.000	0.002	-0.000	4.500	-0.000	0.071	-0.091	0.567	-0.731
4100	0.000	0.002	-0.000	4.500	-0.000	0.073	-0.094	0.581	-0.749
4200	0.000	0.002	-0.000	4.500	-0.000	0.074	-0.096	0.596	-0.767
4300	0.000	0.002	-0.000	4.500	-0.000	0.076	-0.098	0.610	-0.785
4400	0.000	0.002	-0.000	4.500	-0.000	0.078	-0.100	0.624	-0.803
4500	0.000	0.002	-0.000	4.500	-0.000	0.080	-0.103	0.638	-0.821
4600	0.000	0.002	-0.000	4.500	-0.000	0.081	-0.105	0.652	-0.839
4700	0.000	0.002	-0.000	4.500	-0.000	0.083	-0.107	0.666	-0.857
4800	0.000	0.002	-0.000	4.500	-0.000	0.085	-0.109	0.680	-0.875
4900	0.000	0.002	-0.000	4.500	-0.000	0.087	-0.112	0.694	-0.893
5000	0.001	0.002	-0.000	4.500	-0.000	0.088	-0.114	0.708	-0.911
5100	0.001	0.002	-0.000	4.500	-0.000	0.090	-0.116	0.722	-0.929
5200	0.001	0.002	-0.000	4.500	-0.000	0.092	-0.118	0.735	-0.947
5300	0.001	0.002	-0.000	4.500	-0.000	0.094	-0.121	0.749	-0.965
5400	0.001	0.002	-0.000	4.500	-0.000	0.095	-0.123	0.763	-0.983
5500	0.001	0.002	-0.000	4.500	-0.000	0.097	-0.125	0.777	-1.001
