Debug which ball? Mass 1 in kg:Mass 2 in kg:Angle of ball 2 relative to ball 1 in degrees:


Components of initial velocity of ball 1 in ms^-1:


Components of initial velocity of ball 2 in ms^-1:


bB	t	sx	sy	vx	vy	ax	ay	Fx	Fy
--------------------------------------------------------------------------------
0	0.000	4.286	-5.535	0.000	0.000	0.000	0.000	0.000	0.000
100	0.000	4.286	-5.535	-0.000	0.000	-0.003	0.004	-0.014	0.018
200	0.000	4.286	-5.535	-0.000	0.000	-0.006	0.007	-0.029	0.037
300	0.000	4.286	-5.535	-0.000	0.000	-0.009	0.011	-0.043	0.055
400	0.000	4.286	-5.535	-0.000	0.000	-0.011	0.015	-0.057	0.074
500	0.000	4.286	-5.535	-0.000	0.000	-0.014	0.018	-0.071	0.092
600	0.000	4.286	-5.535	-0.000	0.000	-0.017	0.022	-0.086	0.111
700	0.000	4.286	-5.535	-0.000	0.000	-0.020	0.026	-0.100	0.129
800	0.000	4.286	-5.535	-0.000	0.000	-0.023	0.030	-0.114	0.148
900	0.000	4.286	-5.535	-0.000	0.000	-0.026	0.033	-0.129	0.166
1000	0.000	4.286	-5.535	-0.000	0.000	-0.029	0.037	-0.143	0.184
1100	0.000	4.286	-5.535	-0.000	0.000	-0.031	0.041	-0.157	0.203
1200	0.000	4.286	-5.535	-0.000	0.000	-0.034	0.044	-0.171	0.221
1300	0.000	4.286	-5.535	-0.000	0.000	-0.037	0.048	-0.186	0.239
1400	0.000	4.286	-5.535	-0.000	0.000	-0.040	0.052	-0.200	0.258
1500	0.000	4.286	-5.535	-0.000	0.000	-0.043	0.055	-0.214	0.276
1600	0.000	4.286	-5.535	-0.000	0.000	-0.046	0.059	-0.228	0.295
1700	0.000	4.286	-5.535	-0.000	0.000	-0.048	0.063	-0.242	0.313
1800	0.000	4.286	-5.535	-0.000	0.000	-0.051	0.066	-0.257	0.331
1900	0.000	4.286	-5.535	-0.000	0.000	-0.054	0.070	-0.271	0.349
2000	0.000	4.286	-5.535	-0.000	0.000	-0.057	0.074	-0.285	0.368
2100	0.000	4.286	-5.535	-0.000	0.000	-0.060	0.077	-0.299	0.386
2200	0.000	4.286	-5.535	-0.000	0.000	-0.063	0.081	-0.313	0.404
2300	0.000	4.286	-5.535	-0.000	0.000	-0.066	0.085	-0.328	0.423
2400	0.000	4.286	-5.535	-0.000	0.000	-0.068	0.088	-0.342	0.441
2500	0.000	4.286	-5.535	-0.000	0.000	-0.071	0.092	-0.356	0.459
2600	0.000	4.286	-5.535	-0.000	0.000	-0.074	0.095	-0.370	0.477
2700	0.000	4.286	-5.535	-0.000	0.000	-0.077	0.099	-0.384	0.495
2800	0.000	4.286	-5.535	-0.000	0.000	-0.080	0.103	-0.398	0.514
2900	0.000	4.286	-5.535	-0.000	0.000	-0.082	0.106	-0.412	0.532
3000	0.000	4.286	-5.535	-0.000	0.000	-0.085	0.110	-0.427	0.550
3100	0.000	4.286	-5.535	-0.000	0.000	-0.088	0.114	-0.441	0.568
3200	0.000	4.286	-5.535	-0.000	0.000	-0.091	0.117	-0.455	0.586
3300	0.000	4.286	-5.535	-0.000	0.000	-0.094	0.121	-0.469	0.604
3400	0.000	4.286	-5.535	-0.000	0.000	-0.097	0.125	-0.483	0.623
3500	0.000	4.286	-5.535	-0.000	0.000	-0.099	0.128	-0.497	0.641
3600	0.000	4.286	-5.535	-0.000	0.000	-0.102	0.132	-0.511	0.659
3700	0.000	4.286	-5.535	-0.000	0.000	-0.105	0.135	-0.525	0.677
3800	0.000	4.286	-5.535	-0.000	0.000	-0.108	0.139	-0.539	0.695
3900	0.000	4.286	-5.535	-0.000	0.000	-0.111	0.143	-0.553	0.713
4000	0.000	4.286	-5.535	-0.000	0.000	-0.113	0.146	-0.567	0.731
4100	0.000	4.286	-5.535	-0.000	0.000	-0.116	0.150	-0.581	0.749
4200	0.000	4.286	-5.535	-0.000	0.000	-0.119	0.153	-0.596	0.767
4300	0.000	4.286	-5.535	-0.000	0.000	-0.122	0.157	-0.610	0.785
4400	0.000	4.286	-5.535	-0.000	0.000	-0.125	0.161	-0.624	0.803
4500	0.000	4.286	-5.535	-0.000	0.000	-0.128	0.164	-0.638	0.821
4600	0.000	4.286	-5.535	-0.000	0.000	-0.130	0.168	-0.652	0.839
4700	0.000	4.286	-5.535	-0.000	0.000	-0.133	0.171	-0.666	0.857
4800	0.000	4.286	-5.535	-0.000	0.000	-0.136	0.175	-0.680	0.875
4900	0.000	4.286	-5.535	-0.000	0.000	-0.139	0.179	-0.694	0.893
5000	0.001	4.286	-5.535	-0.000	0.000	-0.142	0.182	-0.708	0.911
5100	0.001	4.286	-5.535	-0.000	0.000	-0.144	0.186	-0.722	0.929
5200	0.001	4.286	-5.535	-0.000	0.000	-0.147	0.189	-0.735	0.947
5300	0.001	4.286	-5.535	-0.000	0.000	-0.150	0.193	-0.749	0.965
5400	0.001	4.286	-5.535	-0.000	0.000	-0.153	0.197	-0.763	0.983
5500	0.001	4.286	-5.535	-0.000	0.000	-0.155	0.200	-0.777	1.001
5600	0.001	4.286	-5.535	-0.000	0.000	-0.158	0.204	-0.791	1.018
5700	0.001	4.286	-5.535	-0.000	0.000	-0.161	0.207	-0.805	1.036
5800	0.001	4.286	-5.535	-0.000	0.000	-0.164	0.211	-0.819	1.054
5900	0.001	4.286	-5.535	-0.000	0.000	-0.167	0.214	-0.833	1.072
6000	0.001	4.286	-5.535	-0.000	0.000	-0.169	0.218	-0.847	1.090
6100	0.001	4.286	-5.535	-0.000	0.000	-0.172	0.222	-0.861	1.108
6200	0.001	4.286	-5.535	-0.000	0.000	-0.175	0.225	-0.875	1.126
6300	0.001	4.286	-5.535	-0.000	0.000	-0.178	0.229	-0.889	1.143
6400	0.001	4.286	-5.535	-0.000	0.000	-0.181	0.232	-0.903	1.161
6500	0.001	4.286	-5.535	-0.000	0.000	-0.183	0.236	-0.916	1.179
6600	0.001	4.286	-5.535	-0.000	0.000	-0.186	0.239	-0.930	1.197
6700	0.001	4.286	-5.535	-0.000	0.000	-0.189	0.243	-0.944	1.214
6800	0.001	4.286	-5.535	-0.000	0.000	-0.192	0.246	-0.958	1.232
6900	0.001	4.286	-5.535	-0.000	0.000	-0.194	0.250	-0.972	1.250
7000	0.001	4.286	-5.535	-0.000	0.000	-0.197	0.254	-0.986	1.268
7100	0.001	4.286	-5.535	-0.000	0.000	-0.200	0.257	-0.999	1.285
7200	0.001	4.286	-5.535	-0.000	0.000	-0.203	0.261	-1.013	1.303
7300	0.001	4.286	-5.535	-0.000	0.000	-0.205	0.264	-1.027	1.321
7400	0.001	4.286	-5.535	-0.000	0.000	-0.208	0.268	-1.041	1.338
7500	0.001	4.286	-5.535	-0.000	0.000	-0.211	0.271	-1.055	1.356
7600	0.001	4.286	-5.535	-0.000	0.000	-0.214	0.275	-1.069	1.374
7700	0.001	4.286	-5.535	-0.000	0.000	-0.216	0.278	-1.082	1.391
7800	0.001	4.286	-5.535	-0.000	0.000	-0.219	0.282	-1.096	1.409
7900	0.001	4.286	-5.535	-0.000	0.000	-0.222	0.285	-1.110	1.427
8000	0.001	4.286	-5.535	-0.000	0.000	-0.225	0.289	-1.124	1.444
8100	0.001	4.286	-5.535	-0.000	0.000	-0.227	0.292	-1.137	1.462
8200	0.001	4.286	-5.535	-0.000	0.000	-0.230	0.296	-1.151	1.479
8300	0.001	4.286	-5.535	-0.000	0.000	-0.233	0.299	-1.165	1.497
8400	0.001	4.286	-5.535	-0.000	0.000	-0.236	0.303	-1.179	1.514
8500	0.001	4.286	-5.535	-0.000	0.000	-0.238	0.306	-1.192	1.532
8600	0.001	4.286	-5.535	-0.000	0.000	-0.241	0.310	-1.206	1.550
8700	0.001	4.286	-5.535	-0.000	0.000	-0.244	0.313	-1.220	1.567
8800	0.001	4.286	-5.535	-0.000	0.000	-0.247	0.317	-1.234	1.585
8900	0.001	4.286	-5.535	-0.000	0.000	-0.249	0.320	-1.247	1.602
9000	0.001	4.286	-5.535	-0.000	0.000	-0.252	0.324	-1.261	1.620
9100	0.001	4.286	-5.535	-0.000	0.000	-0.255	0.327	-1.275	1.637
9200	0.001	4.286	-5.535	-0.000	0.000	-0.258	0.331	-1.288	1.654
9300	0.001	4.286	-5.535	-0.000	0.000	-0.260	0.334	-1.302	1.672
9400	0.001	4.286	-5.535	-0.000	0.000	-0.263	0.338	-1.316	1.689
9500	0.001	4.286	-5.535	-0.000	0.000	-0.266	0.341	-1.329	1.707
9600	0.001	4.286	-5.535	-0.000	0.000	-0.269	0.345	-1.343	1.724
9700	0.001	4.286	-5.535	-0.000	0.000	-0.271	0.348	-1.357	1.742
9800	0.001	4.286	-5.535	-0.000	0.000	-0.274	0.352	-1.370	1.759
9900	0.001	4.286	-5.535	-0.000	0.000	-0.277	0.355	-1.384	1.776
10000	0.001	4.286	-5.535	-0.000	0.000	-0.279	0.359	-1.397	1.794
10100	0.001	4.286	-5.535	-0.000	0.000	-0.282	0.362	-1.411	1.811
10200	0.001	4.286	-5.535	-0.000	0.000	-0.285	0.366	-1.425	1.829
10300	0.001	4.286	-5.535	-0.000	0.000	-0.288	0.369	-1.438	1.846
10400	0.001	4.286	-5.535	-0.000	0.000	-0.290	0.373	-1.452	1.863
